parameter,value,R0,Istar,S,ST,E,I,P
eta,0.05,7.428571428571429,17.407151977621936,12.035759888109702,0.9284802237805978,17.407151977621936,17.407151977621936,34.81430395524387
eta,0.2,6.399999999999999,17.163649828320292,10.818249141601473,3.3635017167970593,17.163649828320292,17.163649828320292,34.327299656640584
eta,0.5,5.5,16.794494717703365,8.972473588516838,7.0550528229663225,16.794494717703365,16.794494717703365,33.58898943540673
eta,0.9,4.999999999999998,16.457513110645902,7.2875655532295305,10.424868893540944,16.457513110645902,16.457513110645902,32.915026221291804
mu,0.1,12.0,37.185855217594785,5.464638043986984,1.5707239120260348,18.592927608797392,37.185855217594785,74.37171043518957
mu,0.3,6.0,17.02562418976663,10.128120948833182,4.743758102333643,17.02562418976663,17.02562418976663,34.05124837953326
mu,0.6,3.4285714285714297,8.320204273254719,16.551787390978753,10.64642521804249,14.560357478195757,8.320204273254719,16.640408546509438
mu,0.9,2.400000000000001,4.813526955694348,22.66908694617935,17.161826107641314,12.03381738923587,4.813526955694348,9.627053911388696
delta,0.1,12.0,18.592927608797392,5.464638043986984,1.5707239120260348,18.592927608797392,18.592927608797392,111.55756565278435
delta,0.4,5.250000000000001,16.563599313323458,11.38942513804589,5.792578295336799,16.563599313323458,16.563599313323458,24.845398969985183
delta,0.8,4.125,15.54179700127252,14.072621369998991,8.218393623638391,15.54179700127252,15.54179700127252,11.656347750954389
delta,1.5,3.6,14.838203001248935,15.857681672911362,9.951303320843952,14.838203001248935,14.838203001248935,5.935281200499574
