parameter,R0_sensitivity,Istar_sensitivity
Lambda,0.9999999999917483,1.1889696476842446
beta,0.49999999999587413,0.09448482383679538
phi,0.49999999999587413,0.09448482383679538
theta,0.11111111111183902,0.007134845444497306
eta,-0.16666666667516003,-0.022849787922343896
rho,0.3333333333207141,0.045699575813387495
k,0.20000000001315263,0.23779392956397577
mu,-0.7500000000382201,-0.8917272358075254
d,-1.3944444446097508,-0.7082910466886062
xi,0.49999999999587413,0.09448482383679536
delta,-0.5000000000476845,-0.09448482385766224
